Product Name;Title;CPU;OS;Panel Size;Reslolution;Brightness;CPU;GPU;RAM;SSD;IO Port;Weight (with Battery);Size;Expansion Slot;Include in the box;Battery;Power Supply
CX1405CKA-S64810;ASUS Chromebook CX14 (Intel® Celeron® N4500 1.1/ 8GB/128GB/ChromeOS/CX1405CKA);Intel® Celeron® N4500 1.1;ChromeOS;Not Found;FHD 1920X1080 16:9;300nits;Intel® Celeron® N4500 1.1 GHz;Intel® UHD Graphics;LPDDR4X 8GB ( 8GB LPDDR4X on board );128GB EMMC;"1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack";1.41 Kg;32.45 x 21.44 x 1.70 ~ 1.99 cm;0;None;42WHrs, 3-cell Li-ion;TYPE-C, 45W AC Adapter
B9400CBA-KC7320X;ASUS ExpertBook B9 (i7-1255U/32GB/2TB/Win 11 Pro/B9400CBA);i7-1255U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9(1W);400nits;Intel® Core™ i7-1255U 1.7 GHz;Intel Iris Xᵉ Graphics;LPDDR5 32GB ( 32GB LPDDR5 on board );2TB 2280 PCIE G4 (PERFORMANCE) SSD;"1x USB 3.2 Gen 2 Type-A
 2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x HDMI 2.0b
 1x micro HDMI (RJ45 lan)
 1x 3.5mm Combo Audio Jack";1.133 Kg;32.00 x 20.30 x 1.49 ~ 1.49 cm;2x M.2 2280 PCIe 4.0x4;"Micro HDMI to RJ45 gigabit ethernet adapter
 Sleeve";66WHrs, 4-cell Li-ion;TYPE-C, 65W AC Adapter
B1402CVA-NK3851X;ASUS ExpertBook B1 (i3-1315U/ 8GB/512GB/Win 11 Pro/B1402CVA);i3-1315U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i3-1315U 1.2 GHz;Intel® UHD Graphics;DDR4 8GB ( 8GB DDR4 on board );512GB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";Backpack;42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1409CVA-S67110W;ASUS ExpertBook B1 (i7-1355U/16GB/1TB/Win 11/BG1409CVA);i7-1355U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i7-1355U 1.7 GHz;Intel Iris Xᵉ Graphics;DDR5 16GB ( 8GB DDR5 SO-DIMM *2 );1TB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.407 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1409CVA-S65150W;ASUS ExpertBook B1 (i5-1334U/16GB/512GB/Win 11/BG1409CVA);i5-1334U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i5-1334U 1.3 GHz;Intel Iris Xᵉ Graphics;DDR5 16GB ( 8GB DDR5 SO-DIMM *2 );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.407 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1409CVA-S65850W;ASUS ExpertBook B1 (i5-1334U/ 8GB/512GB/Win 11/BG1409CVA);i5-1334U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i5-1334U 1.3 GHz;Intel® UHD Graphics;DDR5 8GB ( 8GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.407 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
P5405CSA-NZ5150WS;ASUS ExpertBook P5 (U5 226V/16GB/512GB/Win 11/P5405CSA);U5 226V;Windows 11 Home;Not Found;WQXGA(WQ) 2560X1600 16:10;400nits;Intel® Core™ Ultra 5 226V 16GB 2.1 GHz Intel® AI Boost NPU up to 40 TOPS;Intel® Arc™ 130V GPU;LPDDR5X 16GB ( 16GB LPDDR5X Memory on Package );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 2 Type-A
 2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x HDMI 2.1
 1x 3.5mm Combo Audio Jack";1.277 Kg;31.20 x 22.32 x 1.49 ~ 1.64 cm;"1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Sleeve
 USB-A to RJ45 gigabit ethernet adapter";63WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
B5404CVF-QN5150X;ASUS ExpertBook B5 (i5-1335U/16GB/512GB/RTX 2050/Win 11 Pro/B5404CVF);i5-1335U;Windows 11 Pro;Not Found;WQXGA(WQ) 2560x1600 16:10;500nits(HDR);Intel® Core™ i5-1335U 1.3GHz;NVIDIA® GeForce® RTX 2050;DDR5 16GB ( 16GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 2 Type-A
 2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x HDMI 2.1 TMDS
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet
 Smart card reader";1.422 Kg;31.37 x 22.68 x 2.29 ~ 2.30 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2280 PCIe 4.0x4";Backpack;63WHrs, 3-cell Li-ion;TYPE-C, 90W AC Adapter
B1402CBA-NK7852WS;ASUS ExpertBook B1 (i7-1255U/ 8GB/512GB/Win 11/B1402CBA);i7-1255U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i7-1255U 1.7 GHz;Intel® UHD Graphics;DDR4 8GB ( 8GB DDR4 on board );512GB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.499 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";Backpack;42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1408CVA-EB5850W;ASUS ExpertBook B1 (i5-1335U/ 8GB/512GB/Win 11/BG1408CVA);i5-1335U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i5-1335U 1.3GHz;Intel® UHD Graphics;DDR4 8GB ( 8GB DDR4 on board );512GB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1409CVA-S67150W;ASUS ExpertBook B1 (i7-1355U/16GB/512GB/Win 11/BG1409CVA);i7-1355U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i7-1355U 1.7 GHz;Intel Iris Xᵉ Graphics;DDR5 16GB ( 8GB DDR5 SO-DIMM *2 );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.407 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
CX3402CVA-PQ5150;ASUS Chromebook Plus CX34 (i5-1334U/16GB/512GB/ChromeOS/CX3402CVA);i5-1334U;ChromeOS;Not Found;FHD 1920X1080 16:9(1.5W);250nits;Intel® Core™ i5-1334U 1.3 GHz;Intel® UHD Graphics;LPDDR5X 16GB ( 16GB LPDDR5 on board );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 1 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack";1.432 Kg;32.64 x 21.43 x 1.87 ~ 1.87 cm;;None;50WHrs, 3-cell Li-ion;TYPE-C, 45W AC Adapter
